职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
CBD丹尼斯一天地高级定制服装顾问 （早晚班+五险）,郑州市赢庭商贸有限公司,郑州-郑东新区,0.8-1.6万/月,07-23,1年经验,高中,奢侈品业务;店员/营业员;服装定制;高端定制;奢侈品;销售;导购,招6人
人事专员（人事主管）,深圳市百年凤祥珠宝有限公司,深圳-罗湖区,4.5-6千/月,07-23,1年经验,大专,人事专员;招聘专员/助理;招聘专员,招1人
客户总监/销售总监/大客户开发,上海水晶石数字科技有限公司,上海-静安区,1.5-2万/月,07-23,无工作经验,招1人,大客户销售;销售总监;B2B;销售;大客户开发,07-23发布
结构工程师,美丽之星（深圳）电子科技有限公司,深圳-光明新区,1-1.5万/月,07-23,无工作经验,招3人,结构工程师;产品结构设计,07-23发布
报告文员,汉斯曼（HQTS）集团,福州,3-4.5千/月,07-23,无工作经验,大专,后勤;其他;周末双休;绩效奖金;高温补贴;节日福利;定期体检,招1人
互联网销售底薪3000+提成,重庆公瑾企业管理咨询有限公司,重庆-渝北区,6-8千/月,07-23,无工作经验,大专,电话销售;网络/在线销售;销售;互联网;电话销售,招3人
资深展厅设计顾问,圆方软件公司,上海-黄浦区,1-1.5万/月,07-23,1年经验,大专,室内设计;建筑设计师;设计师;硬装设计;展厅设计;家装;CAD;平面设计,招1人
房地产销售,河南真二房产经纪有限公司南阳路店,郑州-金水区,0.8-1万/月,07-23,无工作经验,高中,房地产销售;销售代表;销售;电销;网销;面销;置业顾问;房产中介;房产销售;销售代表;销售顾问,招若干人
市场经理,星威汽车科技（无锡）有限公司,无锡-惠山区,6-8千/月,07-23,无工作经验,大专,市场/营销/拓展经理;市场/营销/拓展总监;市场;运营;门店;连锁;汽车,招5人
电器维修工,长沙顶鼎房地产咨询服务有限公司,长沙-岳麓区,0.8-1万/月,07-23,1年经验,招2人,电工;电器维修,07-23发布
高考生涯规划讲师,广州市乐无边教育科技有限公司,广州-天河区,0.8-1.2万/月,07-23,无工作经验,本科,讲师/助教;教育;讲师;移动互联网,招1人
亚马逊精品运营,深圳市星迈科技有限公司,深圳-龙华新区,0.5-2万/月,07-23,1年经验,大专,网站运营专员;贸易/外贸专员/助理;Amazon运营;Amazon销售;亚马逊运营;亚马逊销售;亚马逊;应届生,招3人
销售代表,河南诺和医疗器械有限公司,郑州-中原区,0.5-1万/月,07-23,无工作经验,大专,医疗器械销售代表;销售代表医疗,招5人
人力资源总监,中德高路集团,昆明,0.8-1万/月,07-23,10年以上经验,本科,人事总监,招1人
游戏销售客服（五险一金+包吃+房补）,南京创梦工场网络科技有限公司,南京-江宁区,6-8千/月,07-23,无工作经验,高中,网络推广专员;网络/在线销售;客服;销售;网销;在线销售;游戏销售;手游;游戏推广;网络在线;业务代表,招6人
实习销售精英双休,厦门文琦工贸有限公司,厦门,3.5-6.5千/月,07-23,无工作经验,中专,电话销售;销售专员;业务员,招5人
Amazon亚马逊精品开发,深圳搏辉光电有限公司,深圳-龙华新区,0.8-1万/月,07-23,1年经验,高中,产品专员;供应商开发;产品开发;买手;供应商开发;亚马逊开发,招2人
行政事务专员（物业模块）,广州顺丰速运有限公司,,6-8千/月,07-23,,,,
销售工程师 （底薪6-8K）+提成+绩效,深圳市致远达科技有限公司,深圳-南山区,0.8-1万/月,07-23,1年经验,大专,销售代表;销售工程师;销售;IC;半导体;电子元器件;芯片;存储器件;电源芯片;销售代表;销售工程师,招6人
女孩多多直招普工7000,深圳市征信盛电子有限公司,深圳-龙岗区,5.2-6千/月,07-23,无工作经验,初中及以下,其他,招30人
(实习）资料员,四川优筑建设工程有限公司,巴中,3-4万/年,07-23,无工作经验,大专,资料员,招2人
暖通系统自控设计工程师,西安锦威电子科技有限公司,西安-高新技术产业开发区,0.5-1万/月,07-23,3-4年经验,本科,空调/热能工程师;电气工程师/技术员;暖通;自动化;电气工程师,招2人
贸易跟单,广州熙利材料科技有限公司,广州-天河区,4.5-6千/月,07-23,2年经验,本科,高级业务跟单;商务助理;进出口贸易;跟单;联系客户,招若干人
软件测试工程师,杭州赛脑智能控制技术有限公司,杭州-余杭区,2-3千/月,07-23,无工作经验,大专,软件测试;软件测试;APP;实习岗,招1人
市场专员（住宅项目高底薪高提成包住宿）,上海轩天实业有限公司,杭州,0.8-1万/月,07-23,无工作经验,招5人,市场/营销/拓展专员;市场专员;渠道专员;联动专员;包住宿;无经验可,07-23发布
投资顾问（双休+底薪6k+提成）,广东兆丰恒业控股集团有限公司,广州-天河区,0.5-1.2万/月,07-23,无工作经验,中专,证券/期货/外汇经纪人;投资/理财顾问;投资;顾问;黄金;外汇;金融,招8人
操作,上海昂泰国际货运代理有限公司,宁波-鄞州区,5-8千/月,07-23,1年经验,大专,船务/空运陆运操作;货运操作;海运操作;出口操作;操作;货代,招2人
讲解员,布瑞克（苏州）农业信息科技有限公司,青岛-莱西市,4-6千/月,07-23,无工作经验,招1人,调研员;项目运营;讲解接待,07-23发布
双休诚聘计算机老师（4k-6k）,郑州市北方汽车职业培训学校,郑州-惠济区,4-6千/月,07-23,2年经验,大专,讲师/助教;学校老师;五险一金;双休;管住宿;计算机教师,招3人
仓库副主管,合肥汉邦希瑞护理用品有限公司,合肥-北城新区,4-4.5千/月,07-23,3-4年经验,高中,仓库经理/主管;仓库管理员,招1人
金融客户经理,平安普惠投资咨询有限公司南宁埌东分公司,南宁,1-1.5万/月,07-23,无工作经验,大专,金融产品经理;金融;贷款;高薪;平安,招3人
标书制作员,陕西金万兰电气设备有限公司,西安-长安区,3-4.5千/月,07-23,2年经验,招2人,商务助理;后勤;商务助理,07-23发布
二胡教师,杭州市萧山区艾乐幼儿园,杭州-萧山区,10-20万/年,07-23,无工作经验,本科,音乐/美术教师,招1人
和县高新诚招销售顾问/高级销售顾问,皖东区域营销管理部,马鞍山,1-1.5万/月,07-23,1年经验,大专,房地产销售;销售顾问;房地产,招10人
销售顾问,上海阿特贝尔景观规划设计有限公司,上海-杨浦区,5-8千/月,07-23,1年经验,大专,大客户销售;销售代表;销售代表,招2人
外贸业务员+创业机会,托凯（广州）服饰有限公司,广州-白云区,6-8千/月,07-23,2年经验,大专,贸易/外贸经理/主管;贸易/外贸专员/助理;外贸业务员;外贸专员;外贸主管;英语;国际贸易;阿里巴巴,招5人
教学主管（直营校就近分配）,爱贝英语（直营中心）,上海,0.8-1.2万/月,07-23,3-4年经验,本科,外语培训师;院校教务管理人员,招若干人
内科医生,湖南枫溪谷产业控股集团有限公司,株洲,0.8-1万/月,07-23,5-7年经验,大专,内科医生;疗养;看诊,招1人
电视购物经理,爱华尚文化（深圳）股份有限公司,深圳-龙华新区,1.5-2万/月,07-23,无工作经验,大专,渠道/分销总监;市场/营销/拓展总监;电视购物;销售;业务;电视购物销售;渠道销售;电购;珠宝销售;琥珀;蜜蜡,招2人
6K+奖金+包食宿销售助理,杭州生普卓越科技有限公司,杭州-西湖区,6-8千/月,07-23,无工作经验,中专,销售行政助理,招5人
输配水分公司副经理,陕西省引汉济渭工程建设有限公司,西安,,07-23,10年以上经验,本科,建筑工程管理/项目经理,招1人
急聘 销售储备干部/底薪7000-8000+带薪培训,上海丽兹行-SH08,上海,1-1.5万/月,07-23,无工作经验,本科,房地产销售;房地产客服;房产顾问;销售经理;销售助理;电话销售;销售顾问;客户代表;渠道销售;汽车销售;置业顾问;物业管理员,招8人
客服文员（双休+五险）,广州天玛云秀影视传媒有限公司,广州-白云区,6-8千/月,07-23,无工作经验,高中,客服专员/助理;客服专员;客服助理;微信客服;网络客服,招10人
双休+五险诚聘银行客服经理,云南彼融经济信息咨询有限公司,昆明-盘龙区,6-8千/月,07-23,无工作经验,高中,高级客户经理/客户经理;呼叫中心客服,招10人
进出口助理,苏州法斯特企业管理咨询有限公司,苏州-高新区,4.5-5千/月,07-23,1年经验,大专,物流专员/助理;进出口;物流;报关,招1人
淘宝客服4k请仔细斟酌,成都奥菲丽亚鞋业有限公司,成都-武侯区,3.7-4.7千/月,07-23,无工作经验,中专,网店/淘宝客服;打字;客服;发货;打单;在线客服;网店客服;网上销售;淘宝客服,招1人
电话销售+7k,朗恩儿童美语,上海-徐汇区,0.8-1万/月,07-23,无工作经验,招4人,销售代表;咨询员;课程顾问;销售;教育;培训;儿童;美语;英语,07-23发布
市场总监,深圳市智载科技有限责任公司,深圳-南山区,1.5-2万/月,07-23,3-4年经验,本科,网络推广经理/主管,招若干人
网络管理员,湖南镭目科技有限公司,长沙,4.5-6千/月,07-23,3-4年经验,大专,网络管理(Helpdesk),招1人
微信运营专员/新媒体运营,广州市蓝越网络科技有限公司,广州-海珠区,4-6千/月,07-23,无工作经验,大专,新媒体运营;网络推广专员;新媒体运营;自媒体运营;公众号运营;互联网营销;运营;推广;营销;微信,招2人
销售专员（8K高薪+住宿）,成都微讯加科技有限公司,成都-成华区,3-4.5千/月,07-23,无工作经验,大专,大客户管理;实习生;销售专员;销售助理;市场推广;直销,招9人
知识产权专员（高薪+五险+双休）,西安集萃知识产权代理有限公司,西安,6-8千/月,07-23,无工作经验,招4人,销售代表;客户代表;知识产权;销售;商务代表,07-23发布
Linux系统工程师,上海耶购电子商务有限公司,上海-普陀区,1.5-2万/月,07-23,3-4年经验,大专,系统工程师;技术支持/维护工程师;运维;Linux;数据库;项目上线,招若干人
应用研发工程师,植萃优品（天津）生物科技有限公司,天津-西青区,6-8千/月,07-23,无工作经验,硕士,化妆品研发;化工技术应用/化工工程师,招2人
试用期无责底薪4000包住宿+提成奖金/销售,杭州璟泰智能科技有限公司,杭州-萧山区,0.6-1万/月,07-23,无工作经验,大专,销售代表;客户代表,招8人
销售代表6K+包吃住+提成+奖金,武汉威弗克斯科技有限公司,武汉-江岸区,0.8-1万/月,07-23,无工作经验,高中,销售代表;大客户销售;渠道销售;直销销售;销售代表;市场推广;销售助理;营销;营销顾问,招10人
高薪诚聘电话销售/课程顾问,上海树元培训学校有限公司,上海-徐汇区,0.8-3万/月,07-23,1年经验,高中,销售代表;电话销售,招30人
销售代表,厦门国一墨轩艺术品有限公司,厦门,4.5-6千/月,07-23,无工作经验,中专,销售代表;实体销售,招2人
人事经理,深圳市美味通餐饮管理有限公司,深圳-龙岗区,6-8千/月,07-23,3-4年经验,大专,人事经理;人事经理,招1人
游戏气氛带动+高提成+高福利,广州天章网络科技有限公司,广州-天河区,0.6-1万/月,07-23,无工作经验,中专,游戏策划师;电子商务专员;推广;游戏;手游;网络;销售;客服;包住;包吃,招15人
众创空间招商专员,西安天地源不动产代理有限公司,西安-高新技术产业开发区,3-4.5千/月,07-23,1年经验,大专,商务主管/专员;前台;招商;销售;天地源,招2人
销售助理,瑞识科技（深圳）有限公司,深圳-南山区,6-8千/月,07-23,2年经验,大专,销售助理,招1人
仓库主管,深圳市酿蜜工社贸易有限公司,深圳-罗湖区,6-8千/月,07-23,无工作经验,招1人,仓库经理/主管;仓库主管,07-23发布
销售储备干部+住宿+带薪培训,内蒙古广茂华贸易有限公司,深圳,0.8-1万/月,07-23,无工作经验,本科,储备干部,招若干人
软件产品测试助理+无经验,深圳市鼎信伟业贸易有限公司,深圳-龙华新区,6-8千/月,07-23,无工作经验,大专,机械工程师;结构工程师;机械电子;软件;产品;工艺;结构;测试,招2人
餐饮门店服务员,上海南翔食品股份有限公司,上海-松江区,3-4.5千/月,07-23,无工作经验,招2人,餐饮服务员,07-23发布
销售助理,东莞泉诚信息科技有限公司,东莞-东城区,6-8千/月,07-23,无工作经验,招10人,渠道/分销专员;面销面谈,07-23发布
市场专员助理,河南乐学堂教育咨询有限公司,郑州-二七区,4-6千/月,07-23,1年经验,大专,市场/营销/拓展专员,招2人
项目合伙人（体育教练）,宝鼎体育控股（深圳）股份有限公司,深圳-福田区,2-3万/月,07-23,2年经验,大专,体育运动教练;合伙人;合伙人;教练;校长;体育教育;体育运动;合作;教学体系;创业;销售;特色项目,招若干人
4000底薪急聘客户代表,东莞市赛亚稀土实业有限公司,东莞-南城区,0.5-1.5万/月,07-23,无工作经验,高中,销售代表;客户代表;销售;业务;业务员;销售专员,招2人
QC Inspector,奇尔乐深圳贸易有限公司,深圳-福田区,0.7-1万/月,07-23,5-7年经验,大专,质量检验员/测试员;美国企业文化,招若干人
金融市场推广 双休,河南久盛资产管理有限公司,郑州-郑东新区,4.5-6千/月,07-23,无工作经验,招40人,客服专员/助理,07-23发布
健身教练/顾问,上海大为知识产权代理事务所,上海-浦东新区,0.9-1.5万/月,07-23,2年经验,大专,健身顾问/教练;健身,招5人
销售专员,广西普托兴丰供应链管理有限公司,南宁,4-6千/月,07-23,无工作经验,大专,渠道/分销专员;销售代表;渠道销售,招4人
外贸销售,深圳市锋迈科技有限公司,深圳-宝安区,0.8-1万/月,07-23,1年经验,大专,贸易/外贸专员/助理;渠道销售;外贸业务员;外贸专员;B2B,招若干人
化工原料高级采购,上海凯茵化工有限公司,上海,0.8-1.5万/月,07-23,5-7年经验,大专,供应商开发;采购主管;供应商谈判;采购经理;采购主管;供应商开发;产品开发;价格谈判;电子商务,招1人
