,职位,公司,城市,工资,发布日期,经验要求,学历,职能类别,招聘人数
174,婴幼儿护理师,广州盈贝昇商贸有限责任公司,广州-增城,3-4.5千/月,07-23,无工作经验,高中,育婴师/保育员;其他,招1人
175,高级招聘专员,广州市百利文仪实业有限公司,广州-越秀区,6-8千/月,07-23,3-4年经验,大专,招聘专员/助理;招聘经理/主管;招聘;猎头;rpo;入职;人才;人才地图,招1人
176,旺季直招普工保底7千+可长短期,广东铧泰网络科技有限公司,广州-天河区,6-8千/月,07-23,无工作经验,初中及以下,包装工;组装工;长白班全坐班;学徒工临时工;正式工操作工;包装组装工;五险一金;空调车间;晋升空间大,招100人
177,招投标专员（实习生）,现代咨询,南京,100元/天,07-23,无工作经验,大专,其他;招投标,招2人
178,会计,武汉太和巽捷数字商务有限公司,武汉,4.5-7千/月,07-23,2年经验,大专,会计;会计;应收应付;税务,招2人
179,销售代表 高收入 五险一金,上海臻宇电子有限责任公司,上海-长宁区,0.6-1.2万/月,07-23,2年经验,大专,销售代表;UPS;精密空调;蓄电池;销售;不间断电源;奖金丰厚;定期体检;员工旅游,招若干人
180,工程文员/助理-沙井地铁站,"FreeTek International Co.,Ltd.",深圳-宝安区,4-6千/月,07-23,2年经验,,技术文员/助理;其他;BOM表;工程文员;研发文员;研发助理;工程助理,招1人
181,周末双休客服,苏州境界之诗有限公司,苏州-工业园区,3.5-4.5千/月,07-23,无工作经验,,售前/售后技术支持工程师;网络/在线客服;周末双休;朝九晚六;节假日放假,招若干人
182,童装销售业务员,福州迪妮宝贝服装有限公司,福州-晋安区,4-8千/月,07-23,3-4年经验,大专,销售代表;童装销售;销售代表;销售员;服装销售;服装销售代表,招10人
183,人事出纳,成都青羊维蜜医疗美容门诊部有限公司,成都-青羊区,4-5千/月,07-23,5-7年经验,大专,人事主管;出纳员,招1人
184,安防产品销售专员,武汉旗云高科工程技术有限公司,武汉-洪山区,2-4千/月,07-23,无工作经验,,销售代表;直销销售,招3人
185,人力资源实习生,广州智光电气股份有限公司,广州-黄埔区,2-3千/月,07-23,无工作经验,,人事专员;人事助理;人力资源;人事;实习生;招聘;培训,招1人
186,会计,山东怡和国际贸易有限公司,济南-天桥区,4.5-6千/月,07-23,3-4年经验,大专,会计;会计,招3人
187,实习生（带薪培训+双晋升+宿舍）,中泰信安基金管理有限公司,青岛-黄岛区,4-6千/月,07-23,无工作经验,大专,市场/营销/拓展专员;带薪培训;员工宿舍;五险一金;市场拓展;客户开发,招3人
188,药品注册,陕西方舟制药有限公司,西安,3-4千/月,07-23,1年经验,本科,生物工程/生物制药;药品注册;QA;质检;注册专员;药品注册;新药注册,招1人
189,销售运营专员,JOINZ将众支付,上海-长宁区,0.6-1万/月,07-23,2年经验,本科,商务主管/专员;支付;运营;金融,招1人
190,电话客服,湖北众诚众赢企业管理有限公司,武汉-江汉区,4-6千/月,07-23,无工作经验,高中,销售代表;客户关系经理/主管;电话客服,招5人
191,网管,广州杰爱威电器有限公司,广州-花都区,4.5-6千/月,07-23,2年经验,中专,系统管理员/网络管理员,招1人
192,新媒体运营专员,坚持我的服饰（杭州）股份有限公司,杭州,6-8千/月,07-23,2年经验,本科,新媒体运营;新媒体运营;时尚嗅觉,招1人
193,网店售后客服,杭州橘家科技有限公司,杭州-滨江区,6-8千/月,07-23,无工作经验,,网店/淘宝客服,招2人
194,音乐培训老师,上海五圣教育投资有限公司,济南-市中区,6-8千/月,07-23,无工作经验,大专,音乐/美术教师;培训督导;音乐老师;培训;幼师,招5人
195,前台接待,武汉恒信众联汽车销售服务有限公司,武汉,3-4.5千/月,07-23,无工作经验,,其他,招1人
196,医院渠道开发岗,苏宁易购集团股份有限公司苏宁采购中心,广州-黄埔区,0.5-1万/月,07-23,1年经验,大专,业务拓展主管/经理;客户经理/主管;医院渠道;推广拓展,招1人
197,急招普工电子厂+正式工月5000,广州文岛企业管理咨询有限公司,南京-江宁区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;组装工;吃苦耐劳;团队合作;沟通能力强;执行力强;学习力强;责任心强,招200人
198,德佑房产/全城就近/贝壳大平台,重庆链家房地产经纪有限公司,重庆-渝北区,6-8千/月,07-23,无工作经验,,市场/营销/拓展专员;渠道/分销专员;销售;房地产;销售经理;房地产销售;实习生;置业顾问;储备干部;高薪;就近;培训,招5人
199,涉外英语经纪人（销售 高薪 双休）,苏州邻客房地产经纪有限公司,苏州-工业园区,0.8-1万/月,07-23,无工作经验,大专,客户代表;英语翻译;英语口语流利;沟通;销售;高薪;双休;五险一金;外贸;翻译,招3人
200,链家诚聘营销管培生/房产销售+底薪4000+协助住宿L,杭州贝壳找房,杭州-萧山区,6-8千/月,07-23,无工作经验,大专,市场/营销/拓展专员;房地产中介/置业顾问;销售;销售代表;房产销售;营销管培生;储备干部;实习生;应届生;置业顾问;电话销售;网络销售,招8人
201,造价讲师,河南中建教育科技有限公司,郑州-金水区,0.6-1万/月,07-23,2年经验,本科,培训讲师;讲师;造价;建造讲师,招1人
202,服务员数名，餐厅领班1名,广州佐佑贸易有限公司,广州-番禺区,4-6千/月,07-23,无工作经验,初中及以下,餐饮服务员;餐厅领班;服务员;领班;餐厅服务员;餐厅领班,招5人
203,网站设计制作/双休,陕西爱美斯网络科技有限公司,深圳-龙华新区,4.5-6千/月,07-23,无工作经验,,认证工程师;网页设计;平面;双休包住;实习生;助理;网络;网站;美工;开发;运维,招5人
204,可借支+6千长白班普工,君晨科技,佛山-南海区,6-8千/月,07-23,无工作经验,,普工/操作工;组装工;质检;组装工;学徒;女生多;普工;操作工;长白班;年底双薪;包吃宿;可借支,招100人
205,链家网底薪3000+诚聘管培生/应届毕业生优先 10名,陕西贝壳闹海房地产经纪有限公司,西安-曲江文化新区,6-8千/月,07-23,无工作经验,大专,电话销售;网络/在线销售;渠道销售;直销销售;电话销售;网络销售;房产销售;销售顾问,招10人
206,新媒体推广专员,北京虎彩文化传播有限公司,北京,6-9千/月,07-23,无工作经验,,市场分析/调研人员;产品/品牌专员;教育行业;文案;新媒体推广;内容编辑,招1人
207,SEO专员/SEM,苏州京正餐饮管理有限公司,苏州-相城区,6-8千/月,07-23,无工作经验,,SEO/SEM,招1人
208,总经理秘书,福建博坤房地产有限公司,福州-台江区,4-6千/月,07-23,无工作经验,大专,经理助理/秘书;秘书;助理,招1人
209,总经理助理,中和聚（北京）能源有限公司,北京-海淀区,1-1.5万/月,07-23,1年经验,本科,经理助理/秘书;总经理助理,招1人
210,普工电子厂/环境待遇好+包吃住,武汉皓瑞企业管理服务有限公司,南京-江宁区,4.5-6千/月,07-23,无工作经验,初中及以下,普工/操作工;组装工;普工;电子厂;五险一金,招200人
211,驻场设计师,全恒国际创意（深圳）有限公司,深圳-福田区,6-8千/月,07-23,3-4年经验,大专,室内设计;建筑设计师;方案;设计师;创意;购物中心;商业广场;公装;室内设计;驻场,招5人
212,行政主管,湖北维胜机器人科技有限公司,襄阳,2.3-3千/月,07-23,1年经验,大专,企业秘书/董事会秘书;行政经理/主管/办公室主任;行政、人事,招1人
213,国际市场管理培训生,苏州市立普医疗科技有限公司,苏州-吴中区,1-1.5万/月,07-23,1年经验,本科,业务拓展主管/经理;国际;市场;培训生;出国;医疗;活检,招1人
214,APP咨询网络客服-无需接听电话,四川汇悦人力资源有限公司,成都-武侯区,4-5千/月,07-23,无工作经验,大专,网络/在线客服;咨询热线/呼叫中心服务人员,招20人
215,OP-1 人事专员（培训与企业文化模块）,江苏迪盛智能科技有限公司,苏州,0.6-1万/月,07-23,3-4年经验,本科,培训专员/助理/培训师;企业文化/员工关系/工会管理;企业文化;培训;中层培训,招1人
216,会服人员,北京恒基续业保洁服务有限公司,北京-大兴区,3-4.5千/月,07-23,1年经验,高中,宾客服务经理,招5人
217,DCC网络专员,云南中升华通汽车销售服务有限公司,昆明,4-8千/月,07-23,1年经验,大专,汽车销售/经纪人,招1人
218,电子厂直招普工6800包食宿+奖励2400,东莞市酷柏电子设备有限公司,深圳-龙华新区,6-8千/月,07-23,无工作经验,,普工/操作工;包装工;美女多;上班轻松;工资高;小时工;正式工;普通工衣;环境好;上班有空调;工厂直招;龙华工业区,招100人
219,亚马逊销售,深圳市始创源发科技有限公司,深圳-龙岗区,0.6-1.2万/月,07-23,2年经验,大专,贸易/外贸专员/助理;亚马逊销售,招3人
220,平面美工助理,陕西首信中义网络科技有限公司,深圳-宝安区,4.5-6千/月,07-23,无工作经验,,销售代表;网页设计;平面设计;双休包住;实习生;助理;网络;网站;美工;开发;运维,招4人
221,专职日语翻译,清华大学,北京,4.5-6千/月,07-23,无工作经验,本科,日语翻译,招3人
222,医美护士,FOUNTAIN-MED 豐泉國際,上海-长宁区,6-9千/月,07-23,2年经验,大专,护士/护理人员;手术室护士;护理;医疗美容,招1人
223,人事主管,南京飓风贸易有限公司,南京-鼓楼区,0.6-1.2万/月,07-23,5-7年经验,本科,人事经理;HRBP,招1人
224,库管,北京宇欣天琪经贸发展有限公司,北京-丰台区,4.5-6千/月,07-23,无工作经验,,仓库管理员;仓库经理/主管;仓库;库管;后勤;仓储;仓库经理;仓库管理员;助理,招2人
225,土建工程师,安徽新华房地产有限公司,合肥-蜀山区,0.8-1.5万/月,07-23,无工作经验,,结构/土木/土建工程师;土建;土建工程师;项目;现场,招1人
226,销售督导（电器店),深圳市苏宁易购销售有限公司,深圳,0.7-1.1万/月,07-23,1年经验,大专,销售主管;卖场经理/店长;销售管理;卖场管理;督导;品类管理;门店;销售;店长,招10人
227,招聘专员,上海东福网络科技有限公司武汉分公司,武汉,4.5-6千/月,07-23,1年经验,大专,招聘专员/助理,招1人
228,西门青羊区诚聘房地产销售、态度端正的才投,成都伟业我爱我家房地产经纪有限公司,成都-青羊区,0.5-1万/月,07-23,无工作经验,高中,网络/在线销售;房地产销售;渠道专员;经纪人;二手房;新房;高薪;高提成;租赁;销售;毕业生;晋升快,招5人
229,资料员/安全员,上海保杰创新建设集团有限公司,红河州,6-8千/月,07-23,无工作经验,,资料员;安全员,招若干人
230,新媒体编辑/运营,积木家（原蘑菇装修）,西安-未央区,0.6-1.5万/月,07-23,无工作经验,本科,新媒体运营;线上运营;文案策划;公众号运营,招3人
231,行政前台,佛山市优师集文化艺术咨询有限公司,佛山-南海区,4-6千/月,07-23,无工作经验,大专,幼教,招若干人
232,平台运营专员（物业公司）,中道集团,昆明-官渡区,4-5千/月,07-23,1年经验,大专,技术文员/助理;文案/策划;平台运营,招1人
233,专职司机,宁夏青藤商贸有限责任公司,银川,3-4.5千/月,07-23,5-7年经验,高中,其他;专职司机,招1人
234,新媒体运营专员,深圳市讯极网络技术有限公司,深圳-宝安区,5-8千/月,07-23,2年经验,大专,市场企划专员;文案/策划,招1人
235,行政助理+6小时工作制+周末双休+朝九晚五,贵州远东商品经营有限公司湖北分公司,武汉-洪山区,3-5千/月,07-23,无工作经验,大专,行政专员/助理;行政;行政文员;文员;助理;文职,招2人
236,网络销售,广东云穗信息技术有限公司,郑州-郑东新区,4.5-6千/月,07-23,无工作经验,,网络/在线销售;销售助理;朝九晚六;电子商务;薪酬面谈,招25人
237,法务专员（周末双休+五险一金）,广州市威武科技信息咨询有限公司,广州-南沙区,0.6-1万/月,07-23,2年经验,大专,法务主管/专员;律师助理;诉讼;案件;法学;法务;法律,招2人
238,神秘客,温州吉联网络科技有限公司,温州,1-1.5千/月,07-23,无工作经验,大专,乘务员;神秘乘客;***服务督导,招2人
239,西班牙语外贸业务,上海梵菲国际贸易有限公司,上海-嘉定区,4.5-6千/月,07-23,1年经验,本科,贸易/外贸专员/助理;西班牙语,招2人
240,高薪招销售 高回报 有住宿,杭州我爱我家房地产经纪有限公司学院路分公司,杭州-西湖区,1-1.5万/月,07-23,无工作经验,,客户代表;直销销售;电话销售;区域销售,招20人
241,渠道业务员,河南伊赛牛肉股份有限公司,焦作,6-8千/月,07-23,无工作经验,,渠道/分销专员,招若干人
242,Windchill 实施顾问/PLM实施顾问,深圳市成翰科技有限公司,深圳-龙华新区,0.8-1.5万/月,07-23,1年经验,本科,项目执行/协调人员;项目主管;PLM实施;实施工程师;Windchill;PLM,招2人
243,小学语文老师(急聘）,沈阳门萨教育咨询有限公司,沈阳-于洪区,2-3千/月,07-23,1年经验,大专,培训讲师;小学教师,招若干人
244,销售助理,深圳市百士康医疗设备有限公司,深圳-宝安区,5-7千/月,07-23,1年经验,大专,销售助理;销售行政助理;销售助理;销售行政助理;销售文员;助理文员;销售行政专员;大客户助理,招2人
245,市场营销总监,广州派迪茵体育发展有限公司,广州-越秀区,1-1.5万/月,07-23,3-4年经验,大专,市场/营销/拓展总监;销售总监;市场营销总监;大客户经理;营销总监;市场总监,招1人
246,房产销售4500+贝壳+链家+五险一金,陕西贝壳闹海房地产经纪有限公司,西安-高新技术产业开发区,0.8-1万/月,07-23,无工作经验,本科,销售代表;房地产销售;电话销售;置业顾问;二手房新房;房产经纪人;房地产;销售;营销,招8人
247,销售/高底薪/包住宿/就近安排,贝壳找房（深圳）科技有限公司,深圳-福田区,0.6-1万/月,07-23,无工作经验,中技,大客户销售;销售代表;销售;应届生;就近上班;客户代表;电话销售;网络销售,招6人
